相关性系数,变量1,变量2
0.99905,时间,物料推送气缸收回状态
0.99901,时间,物料推送数
0.999,时间,物料待抓取数
0.999,时间,放置容器数
0.99902,时间,容器上传检测数
0.99902,时间,填装定位器放开状态
0.99902,时间,物料抓取数
0.99902,时间,填装旋转数
0.99902,时间,填装下降数
0.999,时间,填装数
0.999,时间,加盖检测数
0.999,时间,加盖定位数
0.999,时间,推盖数
0.999,时间,加盖下降数
0.999,时间,加盖数
0.999,时间,拧盖检测数
0.999,时间,拧盖定位数
0.999,时间,拧盖下降数
0.999,时间,拧盖旋转数
0.99902,时间,拧盖数
1.0,物料推送气缸收回状态,物料推送数
0.99985,物料推送气缸收回状态,物料待抓取数
0.99985,物料推送气缸收回状态,放置容器数
1.0,物料推送气缸收回状态,容器上传检测数
1.0,物料推送气缸收回状态,填装定位器放开状态
1.0,物料推送气缸收回状态,物料抓取数
1.0,物料推送气缸收回状态,填装旋转数
1.0,物料推送气缸收回状态,填装下降数
0.99985,物料推送气缸收回状态,填装数
0.99985,物料推送气缸收回状态,加盖检测数
0.99985,物料推送气缸收回状态,加盖定位数
0.99985,物料推送气缸收回状态,推盖数
0.99985,物料推送气缸收回状态,加盖下降数
0.99985,物料推送气缸收回状态,加盖数
0.99985,物料推送气缸收回状态,拧盖检测数
0.99985,物料推送气缸收回状态,拧盖定位数
0.99985,物料推送气缸收回状态,拧盖下降数
0.99985,物料推送气缸收回状态,拧盖旋转数
0.99999,物料推送气缸收回状态,拧盖数
0.99986,物料推送数,物料待抓取数
0.99986,物料推送数,放置容器数
1.0,物料推送数,容器上传检测数
1.0,物料推送数,填装定位器放开状态
1.0,物料推送数,物料抓取数
1.0,物料推送数,填装旋转数
1.0,物料推送数,填装下降数
0.99986,物料推送数,填装数
0.99986,物料推送数,加盖检测数
0.99986,物料推送数,加盖定位数
0.99986,物料推送数,推盖数
0.99986,物料推送数,加盖下降数
0.99986,物料推送数,加盖数
0.99986,物料推送数,拧盖检测数
0.99986,物料推送数,拧盖定位数
0.99986,物料推送数,拧盖下降数
0.99986,物料推送数,拧盖旋转数
1.0,物料推送数,拧盖数
1.0,物料待抓取数,放置容器数
0.99986,物料待抓取数,容器上传检测数
0.99986,物料待抓取数,填装定位器放开状态
0.99986,物料待抓取数,物料抓取数
0.99986,物料待抓取数,填装旋转数
0.99986,物料待抓取数,填装下降数
1.0,物料待抓取数,填装数
1.0,物料待抓取数,加盖检测数
1.0,物料待抓取数,加盖定位数
1.0,物料待抓取数,推盖数
1.0,物料待抓取数,加盖下降数
1.0,物料待抓取数,加盖数
1.0,物料待抓取数,拧盖检测数
1.0,物料待抓取数,拧盖定位数
1.0,物料待抓取数,拧盖下降数
1.0,物料待抓取数,拧盖旋转数
0.99986,物料待抓取数,拧盖数
0.99986,放置容器数,容器上传检测数
0.99986,放置容器数,填装定位器放开状态
0.99986,放置容器数,物料抓取数
0.99986,放置容器数,填装旋转数
0.99986,放置容器数,填装下降数
1.0,放置容器数,填装数
1.0,放置容器数,加盖检测数
1.0,放置容器数,加盖定位数
1.0,放置容器数,推盖数
1.0,放置容器数,加盖下降数
1.0,放置容器数,加盖数
1.0,放置容器数,拧盖检测数
1.0,放置容器数,拧盖定位数
1.0,放置容器数,拧盖下降数
1.0,放置容器数,拧盖旋转数
0.99986,放置容器数,拧盖数
1.0,容器上传检测数,填装定位器放开状态
1.0,容器上传检测数,物料抓取数
1.0,容器上传检测数,填装旋转数
1.0,容器上传检测数,填装下降数
0.99986,容器上传检测数,填装数
0.99986,容器上传检测数,加盖检测数
0.99986,容器上传检测数,加盖定位数
0.99986,容器上传检测数,推盖数
0.99986,容器上传检测数,加盖下降数
0.99986,容器上传检测数,加盖数
0.99986,容器上传检测数,拧盖检测数
0.99986,容器上传检测数,拧盖定位数
0.99986,容器上传检测数,拧盖下降数
0.99986,容器上传检测数,拧盖旋转数
1.0,容器上传检测数,拧盖数
1.0,填装定位器放开状态,物料抓取数
1.0,填装定位器放开状态,填装旋转数
1.0,填装定位器放开状态,填装下降数
0.99986,填装定位器放开状态,填装数
0.99986,填装定位器放开状态,加盖检测数
0.99986,填装定位器放开状态,加盖定位数
0.99986,填装定位器放开状态,推盖数
0.99986,填装定位器放开状态,加盖下降数
0.99986,填装定位器放开状态,加盖数
0.99986,填装定位器放开状态,拧盖检测数
0.99986,填装定位器放开状态,拧盖定位数
0.99986,填装定位器放开状态,拧盖下降数
0.99986,填装定位器放开状态,拧盖旋转数
1.0,填装定位器放开状态,拧盖数
1.0,物料抓取数,填装旋转数
1.0,物料抓取数,填装下降数
0.99986,物料抓取数,填装数
0.99986,物料抓取数,加盖检测数
0.99986,物料抓取数,加盖定位数
0.99986,物料抓取数,推盖数
0.99986,物料抓取数,加盖下降数
0.99986,物料抓取数,加盖数
0.99986,物料抓取数,拧盖检测数
0.99986,物料抓取数,拧盖定位数
0.99986,物料抓取数,拧盖下降数
0.99986,物料抓取数,拧盖旋转数
1.0,物料抓取数,拧盖数
1.0,填装旋转数,填装下降数
0.99986,填装旋转数,填装数
0.99986,填装旋转数,加盖检测数
0.99986,填装旋转数,加盖定位数
0.99986,填装旋转数,推盖数
0.99986,填装旋转数,加盖下降数
0.99986,填装旋转数,加盖数
0.99986,填装旋转数,拧盖检测数
0.99986,填装旋转数,拧盖定位数
0.99986,填装旋转数,拧盖下降数
0.99986,填装旋转数,拧盖旋转数
1.0,填装旋转数,拧盖数
0.99986,填装下降数,填装数
0.99986,填装下降数,加盖检测数
0.99986,填装下降数,加盖定位数
0.99986,填装下降数,推盖数
0.99986,填装下降数,加盖下降数
0.99986,填装下降数,加盖数
0.99986,填装下降数,拧盖检测数
0.99986,填装下降数,拧盖定位数
0.99986,填装下降数,拧盖下降数
0.99986,填装下降数,拧盖旋转数
1.0,填装下降数,拧盖数
1.0,填装数,加盖检测数
1.0,填装数,加盖定位数
1.0,填装数,推盖数
1.0,填装数,加盖下降数
1.0,填装数,加盖数
1.0,填装数,拧盖检测数
1.0,填装数,拧盖定位数
1.0,填装数,拧盖下降数
1.0,填装数,拧盖旋转数
0.99986,填装数,拧盖数
1.0,加盖检测数,加盖定位数
1.0,加盖检测数,推盖数
1.0,加盖检测数,加盖下降数
1.0,加盖检测数,加盖数
1.0,加盖检测数,拧盖检测数
1.0,加盖检测数,拧盖定位数
1.0,加盖检测数,拧盖下降数
1.0,加盖检测数,拧盖旋转数
0.99986,加盖检测数,拧盖数
1.0,加盖定位数,推盖数
1.0,加盖定位数,加盖下降数
1.0,加盖定位数,加盖数
1.0,加盖定位数,拧盖检测数
1.0,加盖定位数,拧盖定位数
1.0,加盖定位数,拧盖下降数
1.0,加盖定位数,拧盖旋转数
0.99986,加盖定位数,拧盖数
1.0,推盖数,加盖下降数
1.0,推盖数,加盖数
1.0,推盖数,拧盖检测数
1.0,推盖数,拧盖定位数
1.0,推盖数,拧盖下降数
1.0,推盖数,拧盖旋转数
0.99986,推盖数,拧盖数
1.0,加盖下降数,加盖数
1.0,加盖下降数,拧盖检测数
1.0,加盖下降数,拧盖定位数
1.0,加盖下降数,拧盖下降数
1.0,加盖下降数,拧盖旋转数
0.99986,加盖下降数,拧盖数
1.0,加盖数,拧盖检测数
1.0,加盖数,拧盖定位数
1.0,加盖数,拧盖下降数
1.0,加盖数,拧盖旋转数
0.99986,加盖数,拧盖数
1.0,拧盖检测数,拧盖定位数
1.0,拧盖检测数,拧盖下降数
1.0,拧盖检测数,拧盖旋转数
0.99986,拧盖检测数,拧盖数
1.0,拧盖定位数,拧盖下降数
1.0,拧盖定位数,拧盖旋转数
0.99986,拧盖定位数,拧盖数
1.0,拧盖下降数,拧盖旋转数
0.99986,拧盖下降数,拧盖数
0.99986,拧盖旋转数,拧盖数
